iter	RMSE
0	32.13713538
1	30.03401657
2	28.14908389
3	26.52270532
4	25.02870136
5	23.63465722
6	22.40897422
7	21.3058839
8	20.2610406
9	19.39038612
10	18.64341096
11	17.89408393
12	17.32291615
13	16.80077385
14	16.33207254
15	15.89673384
16	15.49089992
17	15.15752334
18	14.80815929
19	14.48701878
20	14.21362094
21	13.93444417
22	13.69620157
23	13.51686974
24	13.3557007
25	13.17792672
26	13.02801526
27	12.89831294
28	12.75306196
29	12.63631248
30	12.52832691
31	12.44768975
32	12.35242931
33	12.21611541
34	12.15341283
35	12.05145618
36	11.98263303
37	11.91383778
38	11.79973332
39	11.75073107
40	11.68171336
41	11.61937207
42	11.57013724
43	11.50293139
44	11.42701827
45	11.36287253
46	11.32577199
47	11.27618669
48	11.24600302
49	11.21794406
50	11.18224349
51	11.15051389
52	11.1119984
53	11.08181167
54	11.04800471
55	10.99386804
56	10.97311873
57	10.93769348
58	10.89932182
59	10.87913209
60	10.83210939
61	10.80806993
62	10.7560982
63	10.73330887
64	10.68741202
65	10.6573989
66	10.61912392
67	10.60141148
68	10.56514702
69	10.54500031
70	10.50974455
71	10.49785998
72	10.48338949
73	10.4521353
74	10.43165888
75	10.39695731
76	10.37311489
77	10.35512675
78	10.32715551
79	10.29434285
80	10.26134192
81	10.23677698
82	10.21477311
83	10.19934511
84	10.17767933
85	10.16039521
86	10.13556294
87	10.11763557
88	10.06443586
89	10.02585324
90	9.997059346
91	9.959394246
92	9.93454022
93	9.912754224
94	9.885562232
95	9.863934205
96	9.839016258
97	9.824740083
98	9.804223067
99	9.784701885
100	9.751748722
101	9.714370837
102	9.70317438
103	9.673540198
104	9.646395968
105	9.634893466
106	9.596550305
107	9.568788226
108	9.540120134
109	9.528094579
110	9.501279899
111	9.477495911
112	9.448268052
113	9.427923622
114	9.414269138
115	9.397216494
116	9.38591897
117	9.364159383
118	9.343579673
119	9.320835985
120	9.305643584
121	9.28957778
122	9.280002398
123	9.258684854
124	9.239537138
125	9.208763757
126	9.193186072
127	9.166499151
128	9.14276573
129	9.117955175
130	9.109151538
131	9.092458456
132	9.075067759
133	9.055651861
134	9.043251434
135	9.019325364
136	8.993163436
137	8.97614589
138	8.965340575
139	8.941870331
140	8.929668676
141	8.910126308
142	8.891193637
143	8.879594107
144	8.860830542
145	8.835250684
146	8.808473356
147	8.78319931
148	8.770331051
149	8.74927467
150	8.740613877
151	8.723955804
152	8.709001424
153	8.699353421
154	8.673826135
155	8.653252641
156	8.644901767
157	8.631473417
158	8.614036855
159	8.606501791
160	8.599398233
161	8.574646103
162	8.556771899
163	8.538454192
164	8.521549095
165	8.511830966
166	8.497412494
167	8.479065318
168	8.46164839
169	8.453461978
170	8.435667341
171	8.41299404
172	8.400820802
173	8.394917334
174	8.387609358
175	8.368612369
176	8.35481761
177	8.338167475
178	8.330131612
179	8.306869194
180	8.2901475
181	8.275312553
182	8.268253871
183	8.247554156
184	8.237975035
185	8.228153455
186	8.216372504
187	8.208750838
188	8.188805661
189	8.178795694
190	8.169323933
191	8.154585597
192	8.137370955
193	8.126181059
194	8.110228182
195	8.103582317
196	8.084164651
197	8.066003057
198	8.052983209
199	8.041784388
200	8.028356924
201	8.019266309
202	8.008642024
203	7.995990479
204	7.9900194
205	7.978814752
206	7.965749724
207	7.948112552
208	7.929232045
209	7.912067384
210	7.896925516
211	7.879725841
212	7.870719708
213	7.851356363
214	7.845026792
215	7.834794091
216	7.823668207
217	7.808708345
218	7.792230255
219	7.779970932
220	7.765158019
221	7.756535882
222	7.740054911
223	7.732143216
224	7.725133072
225	7.718759783
226	7.70990203
227	7.693059686
228	7.684597397
229	7.67651392
230	7.664015515
231	7.654881427
232	7.647481197
233	7.643488126
234	7.630039941
235	7.609176991
236	7.603479852
237	7.586647632
238	7.573948906
239	7.559411534
240	7.551144374
241	7.540109018
242	7.527457279
243	7.516026711
244	7.507056631
245	7.502365518
246	7.49162949
247	7.487366711
248	7.475433305
249	7.470395612
250	7.454400294
251	7.44974925
252	7.438047424
253	7.43040251
254	7.421596422
255	7.41500198
256	7.407049648
257	7.387837047
258	7.378268827
259	7.371532578
260	7.362387316
261	7.358566933
262	7.351053805
263	7.343815314
264	7.331310764
265	7.326994893
266	7.323205577
267	7.31882277
268	7.306695606
269	7.302507125
270	7.295158885
271	7.286985248
272	7.283379584
273	7.276119724
274	7.267787025
275	7.25730633
276	7.245607354
277	7.239159501
278	7.23302157
279	7.226163149
280	7.219318209
281	7.209427897
282	7.200667153
283	7.193310808
284	7.185689709
285	7.177569657
286	7.171104351
287	7.167704793
288	7.159831515
289	7.152009053
290	7.142870649
291	7.13767321
292	7.130657137
293	7.122371258
294	7.115205121
295	7.108805827
296	7.101276342
297	7.094480999
298	7.087573563
299	7.082931606
300	7.072721438
301	7.070050776
302	7.060940765
303	7.056755155
304	7.052096112
305	7.046678469
306	7.042961314
307	7.039675321
308	7.036627948
309	7.023554113
310	7.021725839
311	7.012997325
312	7.005563134
313	6.998001509
314	6.986970227
315	6.984559042
316	6.979311435
317	6.969284253
318	6.959867072
319	6.948669314
320	6.938850183
