iter	Passed	Remaining
0	92	92646
1	154	77246
2	215	71555
3	271	67668
4	329	65596
5	392	64953
6	449	63751
7	504	62553
8	560	61723
9	619	61323
10	674	60602
11	729	60034
12	786	59746
13	843	59402
14	898	58987
15	951	58528
16	1007	58281
17	1066	58193
18	1123	58025
19	1181	57884
20	1235	57600
21	1290	57371
22	1346	57208
23	1402	57042
24	1461	56991
25	1516	56798
26	1572	56658
27	1627	56509
28	1682	56346
29	1739	56246
30	1794	56105
31	1858	56217
32	1914	56115
33	1969	55967
34	2024	55805
35	2080	55713
36	2144	55805
37	2207	55881
38	2263	55784
39	2319	55659
40	2382	55735
41	2460	56124
42	2533	56395
43	2589	56270
44	2644	56125
45	2702	56048
46	2763	56036
47	2819	55923
48	2873	55763
49	2932	55720
50	2987	55582
51	3044	55501
52	3098	55359
53	3155	55280
54	3212	55204
55	3267	55074
56	3321	54953
57	3378	54870
58	3435	54801
59	3496	54774
60	3549	54643
61	3607	54570
62	3662	54467
63	3717	54362
64	3778	54348
65	3833	54248
66	3890	54180
67	3944	54069
68	4001	53992
69	4061	53966
70	4116	53861
71	4171	53765
72	4231	53731
73	4284	53617
74	4338	53511
75	4396	53447
76	4450	53345
77	4501	53215
78	4559	53155
79	4621	53151
80	4676	53062
81	4732	52982
82	4786	52884
83	4843	52816
84	4901	52762
85	4958	52693
86	5012	52597
87	5067	52522
88	5125	52468
89	5183	52414
90	5237	52316
91	5294	52255
92	5350	52178
93	5402	52074
94	5458	51996
95	5520	51982
96	5577	51922
97	5634	51858
98	5691	51802
99	5750	51756
100	5805	51672
101	5858	51582
102	5913	51496
103	5972	51453
104	6027	51374
105	6079	51276
106	6133	51187
107	6186	51094
108	6244	51046
109	6299	50970
110	6358	50923
111	6415	50864
112	6470	50792
113	6524	50707
114	6580	50639
115	6634	50557
116	6689	50488
117	6746	50423
118	6803	50365
119	6857	50290
120	6911	50206
121	6970	50161
122	7025	50091
123	7079	50014
124	7138	49967
125	7193	49897
126	7248	49828
127	7305	49769
128	7361	49702
129	7417	49640
130	7472	49571
131	7531	49522
132	7589	49475
133	7645	49410
134	7700	49341
135	7757	49284
136	7813	49220
137	7871	49171
138	7924	49087
139	7980	49020
140	8035	48955
141	8091	48891
142	8146	48821
143	8203	48762
144	8259	48705
145	8312	48624
146	8366	48548
147	8425	48503
148	8478	48425
149	8535	48369
150	8590	48300
151	8643	48223
152	8697	48146
153	8751	48078
154	8805	48005
155	8862	47950
156	8922	47908
157	8979	47854
158	9035	47790
159	9088	47714
160	9146	47662
161	9203	47610
162	9261	47559
163	9315	47487
164	9370	47418
165	9425	47355
166	9483	47302
167	9539	47243
168	9595	47180
169	9652	47125
